Fonte; Local; Sexo; Faixa etária; Raça; Carteira assinada; Serviço População Ativa; Pessoas ocupadas; Força de trabalho; Taxa de desemprego; Nível da ocupação; Participação; Renda habitual; Escolaridade 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ; Não ;  ; 343542.53953256 ; 343542.53953256 ; 343542.53953256 ; 0 ; 100 ; 100 ; 1109.99965125826 ; 10.8712958324928 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ;  ; Trabalhador doméstico ; 167142.34703997 ; 167142.34703997 ; 167142.34703997 ; 0 ; 100 ; 100 ; 705.256496161631 ; 8.90809120804471 
PNADC_012022 ; Ceará ; Mulher ;  ; Negra ;  ;  ; 2771988.39898411 ; 996217.51977456 ; 1141740.95311758 ; 12.7457487572519 ; 35.9387333705891 ; 41.1885184489232 ; 1475.80689853499 ; 9.94011020038594 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ; Sim ; Trabalhador doméstico ; 9679.64111083 ; 9679.64111083 ; 9679.64111083 ; 0 ; 100 ; 100 ; 1319.82286717223 ; 11.3818906818447 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ; Sim ;  ; 140227.10500162 ; 140227.10500162 ; 140227.10500162 ; 0 ; 100 ; 100 ; 2055.22851550297 ; 13.5319346603623 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ; Não ; Trabalhador doméstico ; 31994.41254024 ; 31994.41254024 ; 31994.41254024 ; 0 ; 100 ; 100 ; 706.083609112885 ; 8.37030236686847 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ; Não ;  ; 104324.70542421 ; 104324.70542421 ; 104324.70542421 ; 0 ; 100 ; 100 ; 1338.02490650062 ; 11.6384302550415 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ;  ; Trabalhador doméstico ; 41674.05365107 ; 41674.05365107 ; 41674.05365107 ; 0 ; 100 ; 100 ; 849.312524950444 ; 9.06978474177407 
PNADC_012022 ; Ceará ; Mulher ;  ; Não Negra ;  ;  ; 1155033.3020864 ; 433192.21508515 ; 491462.44570896 ; 11.8564971001502 ; 37.5047381147064 ; 42.5496342677916 ; 2270.49794532116 ; 10.8548114427682 
PNADC_012022 ; Ceará ; Mulher ;  ;  ; Sim ; Trabalhador doméstico ; 27597.51068 ; 27597.51068 ; 27597.51068 ; 0 ; 100 ; 100 ; 1432.18861795781 ; 10.2820165871899 
PNADC_012022 ; Ceará ; Mulher ;  ;  ; Sim ;  ; 394900.12265391 ; 394900.12265391 ; 394900.12265391 ; 0 ; 100 ; 100 ; 1810.6754474965 ; 12.7976875460596 
PNADC_012022 ; Ceará ; Mulher ;  ;  ; Não ; Trabalhador doméstico ; 181218.89001104 ; 181218.89001104 ; 181218.89001104 ; 0 ; 100 ; 100 ; 627.106449646071 ; 8.73019660347511 
PNADC_012022 ; Ceará ; Mulher ;  ;  ; Não ;  ; 447867.24495677 ; 447867.24495677 ; 447867.24495677 ; 0 ; 100 ; 100 ; 1162.75902187875 ; 11.052870532081 
PNADC_012022 ; Ceará ; Mulher ;  ;  ;  ; Trabalhador doméstico ; 208816.40069104 ; 208816.40069104 ; 208816.40069104 ; 0 ; 100 ; 100 ; 734.004125669229 ; 8.94154710972509 
